,emoji,sentiment
257,🍻,"AnalyzerOutput(output=NEU, probas={NEU: 0.854, POS: 0.141, NEG: 0.005})"
258,😻,"AnalyzerOutput(output=POS, probas={POS: 0.738, NEU: 0.260, NEG: 0.002})"
259,🍾,"AnalyzerOutput(output=NEU, probas={NEU: 0.885, POS: 0.110, NEG: 0.005})"
260,👑,"AnalyzerOutput(output=NEU, probas={NEU: 0.861, POS: 0.131, NEG: 0.007})"
261,🤷🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
262,👍🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.832, POS: 0.165, NEG: 0.003})"
263,😣,"AnalyzerOutput(output=POS, probas={POS: 0.850, NEU: 0.148, NEG: 0.002})"
264,🐾,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.099, NEG: 0.005})"
265,💝,"AnalyzerOutput(output=NEU, probas={NEU: 0.823, POS: 0.172, NEG: 0.005})"
266,👌🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.055, NEG: 0.004})"
267,🍷,"AnalyzerOutput(output=NEU, probas={NEU: 0.720, POS: 0.276, NEG: 0.004})"
268,🎬,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.057, NEG: 0.008})"
269,✊🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.042, NEG: 0.007})"
270,😯,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.031, NEG: 0.021})"
271,✍️,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.059, NEG: 0.008})"
272,🇹🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.043, NEG: 0.009})"
273,🌾,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.035, NEG: 0.007})"
274,🇦🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.037, NEG: 0.009})"
275,🇨🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.051, NEG: 0.009})"
276,😨,"AnalyzerOutput(output=NEG, probas={NEG: 0.523, NEU: 0.459, POS: 0.018})"
277,💬,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.098, NEG: 0.006})"
278,🤦🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.807, NEG: 0.178, POS: 0.014})"
279,🍁,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.053, NEG: 0.010})"
280,🎈,"AnalyzerOutput(output=NEU, probas={NEU: 0.860, POS: 0.133, NEG: 0.007})"
281,🐄,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.039, NEG: 0.015})"
282,☘️,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.073, NEG: 0.005})"
283,🙊,"AnalyzerOutput(output=NEU, probas={NEU: 0.870, POS: 0.122, NEG: 0.008})"
284,👹,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.040, NEG: 0.019})"
285,🚗,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.080, NEG: 0.008})"
286,🇩🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.050, NEG: 0.010})"
287,⚰️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
288,🚲,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.091, NEG: 0.008})"
289,🧠,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.082, NEG: 0.010})"
290,📈,"AnalyzerOutput(output=NEU, probas={NEU: 0.730, POS: 0.267, NEG: 0.004})"
291,📺,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.081, NEG: 0.010})"
292,😶,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.041, NEG: 0.011})"
293,🐧,"AnalyzerOutput(output=NEU, probas={NEU: 0.897, POS: 0.096, NEG: 0.007})"
294,🤤,"AnalyzerOutput(output=NEU, probas={NEU: 0.796, POS: 0.192, NEG: 0.012})"
295,🤘,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.035, NEG: 0.007})"
296,✊🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.043, NEG: 0.007})"
297,📣,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.102, NEG: 0.006})"
298,☮️,"AnalyzerOutput(output=NEU, probas={NEU: 0.731, POS: 0.265, NEG: 0.004})"
299,🙌🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.049, NEG: 0.006})"
300,👈,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.035, NEG: 0.008})"
301,🙁,"AnalyzerOutput(output=NEU, probas={NEU: 0.777, NEG: 0.200, POS: 0.023})"
302,🥩,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, NEG: 0.031, POS: 0.018})"
303,⁉️,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, NEG: 0.033, POS: 0.029})"
304,📷,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, POS: 0.105, NEG: 0.008})"
305,🤦🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
306,🐷,"AnalyzerOutput(output=NEU, probas={NEU: 0.826, NEG: 0.158, POS: 0.016})"
307,🌡️,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.050, NEG: 0.008})"
308,📲,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.125, NEG: 0.004})"
309,🤲,"AnalyzerOutput(output=NEU, probas={NEU: 0.885, POS: 0.111, NEG: 0.004})"
310,☑️,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.042, NEG: 0.005})"
311,🐍,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.048, NEG: 0.020})"
312,💪🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.088, NEG: 0.003})"
313,⏰,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.076, NEG: 0.011})"
314,2️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.059, NEG: 0.006})"
315,💻,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.096, NEG: 0.008})"
316,🤐,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.030, NEG: 0.014})"
317,🍺,"AnalyzerOutput(output=NEU, probas={NEU: 0.862, POS: 0.132, NEG: 0.006})"
318,🇦🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.041, NEG: 0.010})"
319,🐨,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.080, NEG: 0.007})"
320,🇮🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.059, NEG: 0.007})"
321,🇵🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, NEG: 0.031, POS: 0.011})"
322,🐸,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.084, NEG: 0.010})"
323,😛,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.063, NEG: 0.008})"
324,👇🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.025, NEG: 0.007})"
325,🔸,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.078, NEG: 0.006})"
326,🖕🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.023, NEG: 0.020})"
327,1️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.053, NEG: 0.006})"
328,🐘,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.067, NEG: 0.009})"
329,🌌,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.093, NEG: 0.006})"
330,🎂,"AnalyzerOutput(output=NEU, probas={NEU: 0.649, POS: 0.348, NEG: 0.004})"
331,🦗,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.076, NEG: 0.011})"
332,🙌🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.036, NEG: 0.006})"
333,⚖️,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.056, NEG: 0.007})"
334,🎵,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.091, NEG: 0.005})"
335,🇺🇲,"AnalyzerOutput(output=NEU, probas={NEU: 0.970, POS: 0.023, NEG: 0.007})"
336,🤷🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
337,👏🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.686, POS: 0.311, NEG: 0.003})"
338,🤠,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.064, NEG: 0.006})"
339,🐂,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.058, NEG: 0.011})"
340,💤,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.064, NEG: 0.014})"
341,🎁,"AnalyzerOutput(output=NEU, probas={NEU: 0.840, POS: 0.155, NEG: 0.004})"
342,🥚,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.047, NEG: 0.013})"
343,🐕,"AnalyzerOutput(output=NEU, probas={NEU: 0.870, POS: 0.121, NEG: 0.009})"
344,🐟,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.063, NEG: 0.014})"
345,📝,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.055, NEG: 0.008})"
346,🔵,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.064, NEG: 0.008})"
347,💃,"AnalyzerOutput(output=NEU, probas={NEU: 0.827, POS: 0.168, NEG: 0.005})"
348,🚫,"AnalyzerOutput(output=NEU, probas={NEU: 0.758, NEG: 0.231, POS: 0.011})"
349,▪️,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.039, NEG: 0.011})"
350,🇪🇹,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.040, NEG: 0.012})"
351,👿,"AnalyzerOutput(output=NEU, probas={NEU: 0.815, NEG: 0.159, POS: 0.026})"
352,✊🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.036, NEG: 0.006})"
353,🤦🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
354,👍🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.859, POS: 0.138, NEG: 0.003})"
355,🇺🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.048, NEG: 0.007})"
356,🐻,"AnalyzerOutput(output=NEU, probas={NEU: 0.898, POS: 0.094, NEG: 0.008})"
357,🎙️,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.083, NEG: 0.007})"
358,👎🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.659, NEG: 0.323, POS: 0.018})"
359,💮,"AnalyzerOutput(output=NEU, probas={NEU: 0.907, POS: 0.085, NEG: 0.007})"
360,✊🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.047, NEG: 0.005})"
361,🇦🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.966, POS: 0.023, NEG: 0.011})"
362,🤷🏽‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
363,🇮🇶,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, NEG: 0.028, POS: 0.020})"
364,🦠,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.056, NEG: 0.010})"
365,👉🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.034, NEG: 0.006})"
366,🇨🇵,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.025, NEG: 0.008})"
367,🐦,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.086, NEG: 0.009})"
368,⚽,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.091, NEG: 0.007})"
369,🇻🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.038, NEG: 0.011})"
370,💟,"AnalyzerOutput(output=NEU, probas={NEU: 0.786, POS: 0.209, NEG: 0.004})"
371,👉🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.035, NEG: 0.006})"
372,🇪🇭,"AnalyzerOutput(output=NEU, probas={NEU: 0.968, POS: 0.019, NEG: 0.012})"
373,🎇,"AnalyzerOutput(output=NEU, probas={NEU: 0.773, POS: 0.222, NEG: 0.006})"
374,🏳️‍🌈,"AnalyzerOutput(output=NEU, probas={NEU: 0.884, POS: 0.110, NEG: 0.006})"
375,👌🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.046, NEG: 0.004})"
376,💲,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.058, NEG: 0.008})"
377,💪🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.079, NEG: 0.004})"
378,3️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.060, NEG: 0.006})"
379,👉🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.038, NEG: 0.006})"
380,🙋‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
381,🍄,"AnalyzerOutput(output=NEU, probas={NEU: 0.902, POS: 0.089, NEG: 0.009})"
382,🎥,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.103, NEG: 0.006})"
383,✋,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.088, NEG: 0.006})"
384,🐖,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.026, NEG: 0.025})"
385,📰,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.069, NEG: 0.010})"
386,👽,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, POS: 0.049, NEG: 0.024})"
387,🇪🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.035, NEG: 0.005})"
388,✊🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.036, NEG: 0.008})"
389,🕊️,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.072, NEG: 0.006})"
390,🐢,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.091, NEG: 0.009})"
391,🌵,"AnalyzerOutput(output=NEU, probas={NEU: 0.894, POS: 0.097, NEG: 0.009})"
392,🔎,"AnalyzerOutput(output=NEU, probas={NEU: 0.897, POS: 0.099, NEG: 0.004})"
393,🇪🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.035, NEG: 0.011})"
394,📖,"AnalyzerOutput(output=NEU, probas={NEU: 0.915, POS: 0.080, NEG: 0.005})"
395,🌀,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.069, NEG: 0.011})"
396,💊,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.051, NEG: 0.011})"
397,🍆,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.067, NEG: 0.007})"
398,👻,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.049, NEG: 0.016})"
399,⛽,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.048, NEG: 0.011})"
400,💶,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.060, NEG: 0.006})"
401,🐳,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, NEG: 0.030, POS: 0.017})"
402,🙏🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.032, NEG: 0.009})"
403,🐛,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.043, NEG: 0.029})"
404,👇🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.970, POS: 0.023, NEG: 0.008})"
405,➕,"AnalyzerOutput(output=NEU, probas={NEU: 0.852, POS: 0.140, NEG: 0.008})"
406,👺,"AnalyzerOutput(output=NEU, probas={NEU: 0.928, POS: 0.056, NEG: 0.016})"
407,🍿,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.129, NEG: 0.008})"
408,🏡,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.081, NEG: 0.005})"
409,💣,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.057, NEG: 0.039})"
410,🙀,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.042, NEG: 0.012})"
411,✌🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.802, POS: 0.196, NEG: 0.003})"
412,👥,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.035, NEG: 0.011})"
413,🔽,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.034, NEG: 0.018})"
414,🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.053, NEG: 0.007})"
415,🧑,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.058, NEG: 0.010})"
416,🔁,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.059, NEG: 0.008})"
417,⭕,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.042, NEG: 0.010})"
418,🎤,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.072, NEG: 0.011})"
419,🇳🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.027, NEG: 0.014})"
420,🇵🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.055, NEG: 0.010})"
421,🚘,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.053, NEG: 0.005})"
422,🐬,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.087, NEG: 0.008})"
423,📅,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.074, NEG: 0.008})"
424,🐒,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.086, NEG: 0.009})"
425,🐞,"AnalyzerOutput(output=NEU, probas={NEU: 0.915, POS: 0.078, NEG: 0.007})"
426,🤟,"AnalyzerOutput(output=POS, probas={POS: 0.980, NEU: 0.018, NEG: 0.001})"
427,✝️,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.053, NEG: 0.008})"
428,🍸,"AnalyzerOutput(output=NEU, probas={NEU: 0.901, POS: 0.092, NEG: 0.007})"
429,🎨,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.084, NEG: 0.005})"
430,🔬,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.063, NEG: 0.007})"
431,🇦🇿,"AnalyzerOutput(output=NEU, probas={NEU: 0.958, POS: 0.029, NEG: 0.014})"
432,🥃,"AnalyzerOutput(output=NEU, probas={NEU: 0.908, POS: 0.086, NEG: 0.006})"
433,🥕,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.034, NEG: 0.020})"
434,🏭,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.072, NEG: 0.009})"
435,🥀,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.030, NEG: 0.022})"
436,🎧,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, POS: 0.101, NEG: 0.009})"
437,🥇,"AnalyzerOutput(output=NEU, probas={NEU: 0.700, POS: 0.297, NEG: 0.003})"
438,🇰🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.033, NEG: 0.014})"
439,🤦🏾‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.973, POS: 0.020, NEG: 0.008})"
440,🌚,"AnalyzerOutput(output=NEU, probas={NEU: 0.850, POS: 0.147, NEG: 0.003})"
441,🔝,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.081, NEG: 0.005})"
442,☢️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.036, NEG: 0.029})"
443,🤙,"AnalyzerOutput(output=NEU, probas={NEU: 0.905, POS: 0.091, NEG: 0.004})"
444,🔰,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.038, NEG: 0.010})"
445,📹,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.080, NEG: 0.007})"
446,🙋,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.073, NEG: 0.005})"
447,🗓️,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.046, NEG: 0.009})"
448,🔋,"AnalyzerOutput(output=NEU, probas={NEU: 0.903, POS: 0.088, NEG: 0.009})"
449,🇨🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.040, NEG: 0.012})"
450,🏠,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.067, NEG: 0.009})"
451,🚮,"AnalyzerOutput(output=NEU, probas={NEU: 0.852, NEG: 0.136, POS: 0.012})"
452,🗽,"AnalyzerOutput(output=NEU, probas={NEU: 0.849, POS: 0.147, NEG: 0.003})"
453,🐱,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, POS: 0.101, NEG: 0.008})"
454,🦄,"AnalyzerOutput(output=NEU, probas={NEU: 0.863, POS: 0.128, NEG: 0.009})"
455,☁️,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.070, NEG: 0.010})"
456,🐠,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.079, NEG: 0.007})"
457,✌🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.766, POS: 0.232, NEG: 0.003})"
458,👊🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.039, NEG: 0.004})"
459,🚙,"AnalyzerOutput(output=NEU, probas={NEU: 0.917, POS: 0.079, NEG: 0.004})"
460,ℹ️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.056, NEG: 0.009})"
461,👉🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.029, NEG: 0.006})"
462,📉,"AnalyzerOutput(output=NEG, probas={NEG: 0.513, NEU: 0.476, POS: 0.011})"
463,🇶🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.067, NEG: 0.009})"
464,🙋‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
465,🇮🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, NEG: 0.095, POS: 0.015})"
466,🍇,"AnalyzerOutput(output=NEU, probas={NEU: 0.907, POS: 0.084, NEG: 0.009})"
467,😙,"AnalyzerOutput(output=POS, probas={POS: 0.766, NEU: 0.232, NEG: 0.002})"
468,🐐,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.057, NEG: 0.014})"
469,🇯🇵,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.043, NEG: 0.008})"
470,📊,"AnalyzerOutput(output=NEU, probas={NEU: 0.939, POS: 0.051, NEG: 0.009})"
471,🖕🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.025, NEG: 0.021})"
472,🇮🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, NEG: 0.053, POS: 0.015})"
473,🐮,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.027, NEG: 0.024})"
474,🦖,"AnalyzerOutput(output=NEU, probas={NEU: 0.838, POS: 0.155, NEG: 0.007})"
475,🍂,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, NEG: 0.027, POS: 0.024})"
476,🍎,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.071, NEG: 0.008})"
477,😧,"AnalyzerOutput(output=NEG, probas={NEG: 0.627, NEU: 0.362, POS: 0.011})"
478,⛔,"AnalyzerOutput(output=NEU, probas={NEU: 0.755, NEG: 0.234, POS: 0.010})"
479,🔊,"AnalyzerOutput(output=NEU, probas={NEU: 0.893, POS: 0.101, NEG: 0.006})"
480,🎅,"AnalyzerOutput(output=NEU, probas={NEU: 0.807, POS: 0.188, NEG: 0.005})"
481,👎🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.772, NEG: 0.210, POS: 0.018})"
482,4️⃣,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.066, NEG: 0.005})"
483,🏃,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.051, NEG: 0.007})"
484,🐋,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.042, NEG: 0.017})"
485,💪🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.071, NEG: 0.004})"
486,🍊,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.069, NEG: 0.008})"
487,🌄,"AnalyzerOutput(output=NEU, probas={NEU: 0.788, POS: 0.209, NEG: 0.004})"
488,🇳🇱,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.045, NEG: 0.009})"
489,👋🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.065, NEG: 0.005})"
490,📱,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.084, NEG: 0.007})"
491,🗿,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.071, NEG: 0.007})"
492,🤷🏽‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.028, NEG: 0.007})"
493,🌽,"AnalyzerOutput(output=NEU, probas={NEU: 0.954, POS: 0.039, NEG: 0.008})"
494,🦍,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.047, NEG: 0.013})"
495,🎼,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.076, NEG: 0.006})"
496,😿,"AnalyzerOutput(output=NEU, probas={NEU: 0.523, NEG: 0.447, POS: 0.030})"
497,🍌,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.078, NEG: 0.008})"
498,📞,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.048, NEG: 0.008})"
499,↗️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.058, NEG: 0.007})"
500,🇰🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.024, NEG: 0.013})"
501,📩,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.061, NEG: 0.006})"
502,🍋,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.063, NEG: 0.011})"
503,⚙️,"AnalyzerOutput(output=NEU, probas={NEU: 0.922, POS: 0.071, NEG: 0.007})"
504,👍🏿,"AnalyzerOutput(output=NEU, probas={NEU: 0.835, POS: 0.162, NEG: 0.003})"
505,🦆,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.055, NEG: 0.014})"
506,🇿🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.960, POS: 0.029, NEG: 0.011})"
507,🦅,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.057, NEG: 0.009})"
508,📆,"AnalyzerOutput(output=NEU, probas={NEU: 0.633, NEG: 0.349, POS: 0.018})"
509,🌅,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.130, NEG: 0.005})"
510,🥁,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.055, NEG: 0.009})"
511,🚜,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.055, NEG: 0.010})"
